payment_id|company_id|payment_date|payment_taxrate|payment_amount|payment_calculatedtax|payment_total|payment_method|payment_remark|payment_confirmed|payment_cancelationreason|payment_createdby|mode_map|issue_bank|issue_date|issue_location|issue_refno|payment_no
506|677|03/05/2018|6|238.68|11.32|250|Cheque||t||2|RHB Bank Berhad|Affin Bank Berhad|04/05/2018|Local||22228
507|494|03/05/2018|6|230|13.8|243.8|Cheque||t||2|Public Bank Berhad|Public Bank Berhad|10/04/2018|Local|95131|22229
508|591|03/05/2018|6|1810|99.6|1909.6|Cheque||t||2|RHB Bank Berhad|Malayan Banking Berhad (Maybank)|02/05/2018|Local|783348|22230
509|112|04/05/2018|6|238.68|11.32|250|Cheque||t||2|RHB Bank Berhad|Affin Bank Berhad|07/05/2018|Local||22231
510|272|04/05/2018|6|840|50.4|890.4|Transfer||t||2|RHB Bank Berhad|||||22232
511|815|04/05/2018|6|180|10.8|190.8|Transfer||t||2|RHB Bank Berhad|||||22233
512|742|04/05/2018|6|330|19.8|349.8|Cheque||t||2|RHB Bank Berhad|Affin Bank Berhad|07/05/2018|Local|158211|22234
513|626|04/05/2018|6|180|10.8|190.8|Cheque||t||2|RHB Bank Berhad|Malayan Banking Berhad (Maybank)|02/05/2018|Local|23783|22235
514|693|04/05/2018|6|238.68|11.32|250|Cheque||t||2|RHB Bank Berhad|CIMB Bank Berhad|05/05/2018|Local|331172|22236
515|535|04/05/2018|6|342.68|17.56|360.24|Transfer||t||2|RHB Bank Berhad|||||22237
516|268|04/05/2018|6|220|13.2|233.2|Transfer||t||2|RHB Bank Berhad|||||22238
517|280|04/05/2018|6|1240|65.4|1305.4|Transfer||t||2|RHB Bank Berhad|||||22239
518|390|04/05/2018|6|400|15|415|Transfer||t||2|RHB Bank Berhad|||||22240
519|390|04/05/2018|6|840|50.4|890.4|Transfer||t||2|RHB Bank Berhad|||||22241
520|670|07/05/2018|6|440|17.4|457.4|Transfer||t||2|RHB Bank Berhad|||||22242
521|701|07/05/2018|6|840|50.4|890.4|Cheque||t||2|RHB Bank Berhad|CIMB Bank Berhad|02/05/2018|Local|335507|22243
522|163|07/05/2018|6|24|1.44|25.44|Cheque||t||2|RHB Bank Berhad|RHB Bank Berhad|27/04/2018|Local|866185|22244
523|804|07/05/2018|6|500|0|500|Transfer||t||2|RHB Bank Berhad|||||22245
